L,lambda,d[000],d[010],d[100],d[110],d[200],d[210],Z[000],Z[010],Z[100],Z[110],Z[200],Z[210],
7,0.43,8.7072002e+491,8.7072002e+491,8.7072002e+491,8.7072002e+491,8.7072002e+491,8.7072002e+491,(5.224320131025328096044483270608389160038155476236093539255110791784361144593176546925464040388899857432194737504099956608140737584640688753111805423236651820449919347764610148637984306826135929246128510906715499460301971661451042430796362945100261241478655540167040262783800284337788926942763768335883465593456e+492 +0),(1.991572684277963220675682223344342787181633477958653948354770951307424811547520280011998101730856861550942297653901896572257639713973696147260143468174183008034265119582699439956979034977176464873268281857877212843956643613231804064905980371163183345261626155012674132293601490343760934216506240598682860359568e+463 2.385903472720633285616492761862523923601753359890859799558707552225499831704160798021930346407597696475242497349408245275763032830239803002426857393274507684192237440799631447793341635962358123429942540301798868704902597055137267238477670118638335750946903928624341692683517332641129421368037021390402497737160e+184),(8.079267896382591322848275115005761877233492373614864010039491880173666636009553749517957842222924311999123346829826083006635441520620342451298606124614130394131589613249308233124872815649052323859627034244138640405018549381724834323564689591265981855326065456081240410201196498527327107440265636712286103401801e+481 1.217753699000403177600048100730457664673648154499723565410169661629072864252425252962815878808966200610209217750103412508955268042957151386999292976576958054809008070511795860561601950737756866934311507526872221012104283667102315642062575583564226383416747909266824985340872787993775185006849964323381951779344e+481),(-1.102002544105473041658848571787455444745346605588227524678491653645810496108286327608804031018311339233172362339651156241938088024431654807494653445285615327357090234182512215916590082471316253980293505703300997623013646910691167986742652300041648511679841045803660241485118976243911820376114696113583455288536e+481 7.311309161804764296937042053720789954982256421690244870716328190707670958987893898669145341080253322319580488082832435921138313098781408805059148930305021126052500775272448547883625590635595714115750900557857099881982385252504736120124757222843022473701349873106447929323512212076580814747780951402294797796328e+481),(8.079267896382591322848275115005761877233492373614864010039491880173666636009553749517957842222924311999123346829826083006635441520620342451298606124614130394131589613249308233124872815649052323859627034244138640405018549381724834323564689591265981855326065456081240410201196498527327107440265636715685386555828e+481 -1.217753699000403177600048100730457664673648154499723565410169661629072864252425252962815878808966200610209217750103412508955268042957151386999292976576958054809008070511795860561601950737756866934311507526872221012104283667102315642062575583564226383416747909266824985340872787993775185006849964319132847836810e+481),(-1.102002544105473041658848571787455444745346605588227524678491653645810496108286327608804031018311339233172362339651156241938088024431654807494653445285615327357090234182512215916590082471316253980293505703300997623013646910691167986742652300041648511679841045803660241485118976243911820376114696113583455288536e+481 -7.311309161804764296937042053720789954982256421690244870716328190707670958987893898669145341080253322319580488082832435921138313098781408805059148930305021126052500775272448547883625590635595714115750900557857099881982385252504736120124757222843022473701349873106447929323512212076580814747780951395071321094020e+481),
7,0.48,1.95705e+519,1.95705e+519,1.95705e+519,1.95705e+519,1.95705e+519,1.95705e+519,(1.174229973909832655431306488525170649897241794648035168160072687524593429981068902278231385041120283793221322442917118251668397317091854405909961722657709911684643059349146652565014680265483973844702569546587465942691251106537801431794459689472898497725385648261455170798575606500602960751883323708898027610983e+520 +0),(5.299451885134067032362099017072002344360059478947812612443992501781317473709852414831932528456739731480883487973334026505926697881057520152672775380143561468370809645878763058322213988522819459702369837043283132628849524689013263114256069265980641818743925486025612670403863190648986124098746137485409880916121e+490 5.362610449322302221777049448365170092441419628233995709306784844845145196431733101691591400106538211622612037674527273818497191693781007020200518025915785133961076287446645342365435660335310050185907858500567107682510649761722748801430211724168717795623815924787220183736482713454489300077908579856269371802080e+211),(2.440085049168065459856513675997158226474506619623862829807691628547474377741763169404776344893985819961888856832027791595831612247148868717552726628463969676074111731943683001295924236502555440125652133737824735240571874186434627587592418807208895256912156325405588495100643238481757271362133755144620813568140e+510 3.677836448312867706956006826903373877690851909338859083356544797689863253192730145728857099022112093459075972403948284006485900457233690289566421764396000699001119153439472064200154744853390863008475485700043065090546795695679455352375710041130820656232833307981513927806501377646797124872257929950954938198340e+509),(-3.435284340387762472191903699035829975289219891598464958511967948478195744670082894130613483766428455567839986699247724306271863677999147371413424159243454116444061516905007177919543856931987417449827358654937566415314636050619551704917921767993654419914995775689021344167279817888914048411901577600815221181529e+509 2.279162240198746991560673786239057004890429259207415230911177820238629262101659967057296668446125739039362304193721289791307475978049744076210046261361178123167833211491299941796672529485761123429911197970618904326965987551413228785661512892595188768143894034393093498597579520900227162249042102602283003590465e+510),(2.440085049168065459856513675997158226474506619623862829807691628547474377741763169404776344893985819961888856832027791595831612247148868717552726628463969676074111731943683001295924236502555440125652133737824735240571874186434627587592418807208895256912156325405588495100643238481757271362133755144683935198959e+510 -3.677836448312867706956006826903373877690851909338859083356544797689863253192730145728857099022112093459075972403948284006485900457233690289566421764396000699001119153439472064200154744853390863008475485700043065090546795695679455352375710041130820656232833307981513927806501377646797124872257929949902911018031e+509),(-3.435284340387762472191903699035829975289219891598464958511967948478195744670082894130613483766428455567839986699247724306271863677999147371413424159243454116444061516905007177919543856931987417449827358654937566415314636050619551704917921767993654419914995775689021344167279817888914048411901577600815221181529e+509 -2.279162240198746991560673786239057004890429259207415230911177820238629262101659967057296668446125739039362304193721289791307475978049744076210046261361178123167833211491299941796672529485761123429911197970618904326965987551413228785661512892595188768143894034393093498597579520900227162249042102602114679241616e+510),
7,0.53,1.4530164e+541,1.4530164e+541,1.4530164e+541,1.4530164e+541,1.4530164e+541,1.4530164e+541,(8.718098238018347204783204165134401826230807958985933444475826634759335377805625520661463710122239745637571251411305002878199485017968095632521991102970371432636056106619774062384945289295892068396324302197003758745750436829242073456301338000770652928053101757633698290970971752381793776265949162326000017340652e+541 +0),(4.923547339996167882069167309936241396012864500622665888400496375293420519062177561307990882184929893674365708584806023006384170274958753335011993217671830295726902461050367185010783345779241775390509302783329151642077535484413345111965770162775263928630700056825741826145478399885166739406026806301353040691137e+512 3.981482822631943607793658291047115426740780277912806421808742404518029761838283274647300017300208420253746590806039614292536787956000593303396692017662871153950278119269410731127869372234922132677789458683915786715002137337724453413395066409030734157557502203941811066101672365496525515842156101447413545242496e+233),(1.457790360941197115773151839234620022051957876580515920624094765058876410143818773098250398431662861681042934881603612199774903515667843824062748161362649287201093980100223096021077335799368002559472216776702975848062464624486593459982721203832534901336914339153976801291068835429995279393444987445115757966828e+533 2.197265429455701500740978037054877237545331944925740855779202430966050286319854927848450860106616345471461246425905198092281051751089058959249626070546134637399217340308902687190875711915251766595097384890452264182161130705851787727450700805978918646368465222440398388996591586744198569368797952298216543303432e+532),(-2.080209503968674891973525592443844138744636704718618594764373577138984341385600690426599302627419790811997565211845516405866626301149661956001944469289390583885920125439595030432527438184089394357355455866314873976645207820462487761025756932357732773899559394633354872570228663258886048549968125909821837326805e+532 1.380128828757391060901104841106953186637489018662869806026494239415378868788753138688407201373683646823472411637351468099943002718587155696070370112115980674111371779789877224913839020320941908293011979138412818718817150805449292482316621688997308229574838242179188742000858473500225473228180347017095213831023e+533),(1.457790360941197115773151839234620022051957876580515920624094765058876410143818773098250398431662861681042934881603612199774903515667843824062748161362649287201093980100223096021077335799368002559472216776702975848062464624486593459982721203832534901336914339153976801291068835429995279393444987445121719636302e+533 -2.197265429455701500740978037054877237545331944925740855779202430966050286319854927848450860106616345471461246425905198092281051751089058959249626070546134637399217340308902687190875711915251766595097384890452264182161130705851787727450700805978918646368465222440398388996591586744198569368797952298127118261315e+532),(-2.080209503968674891973525592443844138744636704718618594764373577138984341385600690426599302627419790811997565211845516405866626301149661956001944469289390583885920125439595030432527438184089394357355455866314873976645207820462487761025756932357732773899559394633354872570228663258886048549968125909821837326805e+532 -1.380128828757391060901104841106953186637489018662869806026494239415378868788753138688407201373683646823472411637351468099943002718587155696070370112115980674111371779789877224913839020320941908293011979138412818718817150805449292482316621688997308229574838242179188742000858473500225473228180347017083290492074e+533),
7,0.58,3.5385205e+557,3.5385205e+557,3.5385205e+557,3.5385204e+557,3.5385204e+557,3.5385205e+557,(2.123112284078796691449341001696099945330283322232259394637007620752431033368904449986078567298429510630970518901346484963475242548993400694181622570065746143750378115700372032127185424545231959163270691729231049769372559247077514439618489671428182715168180276830785080453427939937172366331958939648680700632616e+558 +0),(1.556429507487248919755226608725728936327306053326822306532604590885949003390942552037509153508936735404141563879649319912253366913582005770525896372173123876271533198628415627528740722071753910951045673718471119677720472540282316004512360176539823652330752530392564855713212641747021668643667327981278606879774e+529 9.696076895206019318944924551480147555856808507552572568396758570270951369951287137387850324986866704581082260648554328985682517995741897564361113478936572270493158392989520258706765754531031664964249113264141897808228239363761865541584652634904904209953890381143766855794734261289582383510397252928970810642629e+249),(1.964853292934243218933445941874180895014902007876866084205159540761681387014358015185467830865160703529715704476870120156645210323762057963375249386794152182281966198445781283782814931773367356997008280724325280463515399924015262189220726995056768512675180566269389086689534665992837753360625736424069427796923e+550 2.961539827804332884592110333615845913962234879874615465801465167925954656991715292063823724509267687650837792235383451771853017374007302642949726854865277006791309325549273524121957723331790656085497656925430345455365480709513517137780471980854538503611587081212309562242071317297737987840068414732593290872852e+549),(-2.811178320053242108816064100987470393390058537499580009838129005969439509316043064629611099262872498026742676156482085230265271623109386098320348530483631385415084966313542863496950890709637737261334642351690969076011172541221927488987842973667587850675769126006086901965474874944255406875095179745994491329578e+549 1.865094950715923447804167083290525284934807356349026592263255595323149300903143118412911046078421800521698321925541637755155325535980352109132554626050897974181091629641165639292795951190561705577022943327905910656704107142032969159461198729403829255961574484896813476729843314440409268222579155569473440208170e+550),(1.964853292934243218933445941874180895014902007876866084205159540761681387014358015185467830865160703529715704476870120156645210323762057963375249386794152182281966198445781283782814931773367356997008280724325280463515399924015262189220726995056768512675180566269389086689534665992837753360625736424070143769521e+550 -2.961539827804332884592110333615845913962234879874615465801465167925954656991715292063823724509267687650837792235383451771853017374007302642949726854865277006791309325549273524121957723331790656085497656925430345455365480709513517137780471980854538503611587081212309562242071317297737987840068414732573601626408e+549),(-2.811178320053242108816064100987470393390058537499580009838129005969439509316043064629611099262872498026742676156482085230265271623109386098320348530483631385415084966313542863496950890709637737261334642351690969076011172541221927488987842973667587850675769126006086901965474874944255406875095179745994491329578e+549 -1.865094950715923447804167083290525284934807356349026592263255595323149300903143118412911046078421800521698321925541637755155325535980352109132554626050897974181091629641165639292795951190561705577022943327905910656704107142032969159461198729403829255961574484896813476729843314440409268222579155569470397324629e+550),
7,0.63,2.4736982e+568,2.4736982e+568,2.4736981e+568,2.4736978e+568,2.4736977e+568,2.473698e+568,(1.484218797798114474759321129694261858425242532802323543027550156567830468530169772413837854637691479632203049684898519482409241741202409724456118188404373771232987199793508973245047818607609400577314384498606253681461072826247499744824673114103693561420852405840605061171054826619707519276164682494331401183771e+569 +0),(1.449171399118857721714148247488191028741220457381500525460319104719856072801066079060763640597193611587223970361976528497616332950490705199886451436050231756692689362190282751569052051077461032182596088676434520679699618980959850096792538058079880195759704918103819500908202455975790020197680571853919718299534e+540 6.778303578515136358911630394389528764732239325423057762574182959197938197794457024331862721324598960569714447607350446685150302419411460375285732014123154244721464125340931011441416337311173954153738953017995473052785436548285371650612065544235759135192836312627630261609384162466122429382618416585408808382691e+260),(5.731998496031750967816957951021276641447504692594383157658758591431384843740965370911761149112910146658573227302486161836157732768358378425367961003712537778496969559078402362656874873185188215633373474547015724585310438270429893686431546427466668986862762508554089283812909544682160110004349252012394837935930e+561 8.639597622864700546330416201737684524609648956372607676516312686568681683503388121323627132263264400940621468080102493306203288456385951436311959129501054000350334673628960482170022638157572113873543299608048734883553047005241603366611298708870899006742494434317739869069499969909408363149397954353802196466112e+560),(-8.167603247291521470649591569259466664636279677876926495456693648424562519679080814329364674757268615065178850391362816674034739264700013482557152325581346764617934042858399855530631519286212276808959247796124558652429004973839063269510735926199149725567173356598513611197482307090657105155747701974851104384223e+560 5.418850688805072142057673069173747403553029804697283185396592124473520148375751707770238268785751851603042160281160340231137593045732775673654053451170549446403521353547705509324112469103666968193985990229233850971101300419154769036658968216219152860341714574213656882943180499113065731224003098156800822111695e+561),(5.731998496031750967816957951021276641447504692594383157658758591431384843740965370911761149112910146658573227302486161836157732768358378425367961003712537778496969559078402362656874873185188215633373474547015724585310438270429893686431546427466668986862762508554089283812909544682160110004349252012395329948553e+561 -8.639597622864700546330416201737684524609648956372607676516312686568681683503388121323627132263264400940621468080102493306203288456385951436311959129501054000350334673628960482170022638157572113873543299608048734883553047005241603366611298708870899006742494434317739869069499969909408363149397954353789896150540e+560),(-8.167603247291521470649591569259466664636279677876926495456693648424562519679080814329364674757268615065178850391362816674034739264700013482557152325581346764617934042858399855530631519286212276808959247796124558652429004973839063269510735926199149725567173356598513611197482307090657105155747701974852334415780e+560 -5.418850688805072142057673069173747403553029804697283185396592124473520148375751707770238268785751851603042160281160340231137593045732775673654053451170549446403521353547705509324112469103666968193985990229233850971101300419154769036658968216219152860341714574213656882943180499113065731224003098156798854061203e+561),
7,0.68,3.8129342e+573,3.8129345e+573,3.8129339e+573,3.8129321e+573,3.812932e+573,3.8129335e+573,(2.287760006424310809010360561527893828762380405749469552429836660760470263748585949870973473772400996612765279173663379569562324097982266043857795763710788941453466264763287744126851098450745621497510986443800619950092896944070149171257198867068422952390095116016571752050300718856963043849567226305656457995606e+574 +0),(3.039744960572267327112902164184784316790217157172628183911895800610557940572837814394404792425759631442743808821532981856548136332463952801308200457155181160847730043961103430630534388889364502450303217415272785531392093883216703474811305649107360173087810628314775936360491115508828647588942280695500896812664e+545 1.044800932405319067571738022921068213004626943467977324154461980538589840591578663430607070324361323916866621922076908178255876907012084948520334538034950392755330640989487999213958945920662824643569605033525050570730599090355449794652823497891564439952013716033033681683141516885430180954003693386601174589532e+266),(2.961848109802730420861248772276801181365786545322258256814093576069224361374075592240033697731369986077409007574624119919468193700255324212368121419189116360897821378007750391124031177493945302135864303115468802631669978563506540805091354643076296384355047063006070671290149816523092050608062438004877848691525e+567 4.464267725550399636911567793369262378810001681469651297157933862628244653963161468150817083127954542537165741250148696868325842561929326051558012533125630917625210269804435934090004431555881125906985647197870613468424368830960737074131000098198511811355468274919974579701796268469737848916753833864920434356128e+566),(-4.185365147374974584631702970852836392505373291660658990460848073038443631365283834903316015745905066713401664850233349758778550288299077499096625309820877652926008349348398368956540638355098216895445679004193359988733775634730032127386373401608590318408832233062931547854455124333729119905329378177800838741524e+566 2.776808339615975968734566333370488821905547400128495529307913006657561634459298111606610799012479116887378510586379106949888214911781152683378023232982681832858434858024542094293164412292153495136540067099871333466573886358831768093422505162210071912202293740248385198617970804153399149834097146314215459203097e+567),(2.961848109802730420861248772276801181365786545322258256814093576069224361374075592240033697731369986077409007574624119919468193700255324212368121419189116360897821378007750391124031177493945302135864303115468802631669978563506540805091354643076296384355047063006070671290149816523092050608062438004877977669682e+567 -4.464267725550399636911567793369262378810001681469651297157933862628244653963161468150817083127954542537165741250148696868325842561929326051558012533125630917625210269804435934090004431555881125906985647197870613468424368830960737074131000098198511811355468274919974579701796268469737848916753833864919144574557e+566),(-4.185365147374974584631702970852836392505373291660658990460848073038443631365283834903316015745905066713401664850233349758778550288299077499096625309820877652926008349348398368956540638355098216895445679004193359988733775634730032127386373401608590318408832233062931547854455124333729119905329378177800838741524e+566 -2.776808339615975968734566333370488821905547400128495529307913006657561634459298111606610799012479116887378510586379106949888214911781152683378023232982681832858434858024542094293164412292153495136540067099871333466573886358831768093422505162210071912202293740248385198617970804153399149834097146314215136757705e+567),
7,0.73,8.6494448e+572,8.6494466e+572,8.6494425e+572,8.6494315e+572,8.6494308e+572,8.64944e+572,(5.189663619407413009846009146768765192257765673909107723366624440715684784251230585804318890103509790502927504173723278979356994767868433585526848566688228342119226635472446959796045294326502207727373301750005086306244594632166191968232968524329803369795009817413222264152312712108531410756737559526928822725832e+573 +0),(9.593741739997701546137871829279279079814419603094210055316833543261590049306754985461993787184131762565248019379365281017509477953567019714317064222121820014734999121546899153755789164207276767793641181926609911417244078314599055470757457595214242939784250106882276876948930381007264258693543613750494325181410e+544 2.370076132636606244776723431401107041630641466334548930864555790224203210909264684542817943067859565062731812620452879218456015717924836767584678163949392621667378787286558568036885730455325294750324494633723267865885292085459762994460149950376702699320417829503918322749421733877198090446321635704570695197912e+265),(1.892752217941538290342794297284394497372973195474982124549762500571368348040385672431951179145230085454422025956202447161889484110164959354304677717408736359623408892384228342674842206420884635197043247847988664071849168374349474845028788318369802877748939537741423855653610460415770889551596172359789916891277e+567 2.852864943024755218256255186512774894820991823058792380169618935509282072392270965819609210564205155866986520752245557514720777865542749139740666181050172265433893339065229272514868201376296695529659069470412878878098234221456276218651978068934578259086137884871187766960886151570094725038241835288857722452716e+566),(-2.645228217454584857079908138241042346712302069511738262482362420645342943181802241793601745617489836458618315369333201880063771581325924091037600017172409125085172553206230260326317632201441689093624206583856658456055034582963679339700001486905232991262291072669709977451364044511165216812432676228106770737169e+566 1.754994251582158395647501761714317401802768416823532356742308251679418580491685226037729602769721871876767454842345477677686536454557880646466591692935404643738640788297784714580034238903230612943635091462461819837416696013537586339997121048564960510688460799921194009167568169475851087422378984081152887910094e+567),(1.892752217941538290342794297284394497372973195474982124549762500571368348040385672431951179145230085454422025956202447161889484110164959354304677717408736359623408892384228342674842206420884635197043247847988664071849168374349474845028788318369802877748939537741423855653610460415770889551596172359789941074681e+567 -2.852864943024755218256255186512774894820991823058792380169618935509282072392270965819609210564205155866986520752245557514720777865542749139740666181050172265433893339065229272514868201376296695529659069470412878878098234221456276218651978068934578259086137884871187766960886151570094725038241835288857319395975e+566),(-2.645228217454584857079908138241042346712302069511738262482362420645342943181802241793601745617489836458618315369333201880063771581325924091037600017172409125085172553206230260326317632201441689093624206583856658456055034582963679339700001486905232991262291072669709977451364044511165216812432676228106770737169e+566 -1.754994251582158395647501761714317401802768416823532356742308251679418580491685226037729602769721871876767454842345477677686536454557880646466591692935404643738640788297784714580034238903230612943635091462461819837416696013537586339997121048564960510688460799921194009167568169475851087422378984081152815359880e+567),
7,0.78,1.6471348e+566,1.6471357e+566,1.6471338e+566,1.6471287e+566,1.6471283e+566,1.6471326e+566,(9.882793895112093443383996701064331632211572760152736312650651235592733435187065195461934886985938798439792629344052645848466079869887566805887058561726550984639506215331474965537671822772305316495914880962449885377926737670657210272564533724267165424425577809292536990102486120341130112705227549986416785262230e+566 +0),(2.608533969881115258362331400269991189542233879237778907236661599210216552173857607672325745630186521334056692133564871826641237611460446025467580965669331717734299967332163910982776539388462801988432719693732286397385191526547414190033823412597974335972149801441769354827786715175412896305250632649064063494782e+538 4.513389624517996874944490512466481050542641504005120027744654412707483785325470553521092031783614225028956296938788144376460120171222520483832216806993167954138083544998319593962709033067299559134751392950105378725022144886746158386293141723552081144960664750443216710916739639888594921356287515607330467078732e+258),(8.817047539254424315573517646046477705626435698372655899698796137631801218323078003311654005345910704641985608868416527874978844272559416512831359723577531611711939001978014758392012495549264128899230322945901086197185682602590708867827734924333255255688576981680805823458237098296606347492859604952235056559771e+560 1.328956087716419828910430244455378346234287500750154552428654655939708137174658286257526051814757210462493766876469947904771530505389490296121624773594381212557929619330626799190441983368794766839366126093586870611846197690975163515480097671792785829793338465337750871560800749497023677525935809579344367234513e+560),(-1.216576391852356733908164103028383417714744451847666269066888106701035424115337673086836460247292543583539116013997234317218638943394514816802681228236270880036475565833157872457418812474540498234061310459543616043871970596492216876208309624492201459577721236465184450180450249004596713096253447325932142353446e+560 8.071456973818199852439739398571099523775192737585214969106137499576352051272403757144256095534026271880148218305169411913746826275067886267689453148971532260629228265482670520252828129508312756784650280950399452228789229010547969032242979346106847154964629441943831222366444193316685280158168634889043804987115e+560),(8.817047539254424315573517646046477705626435698372655899698796137631801218323078003311654005345910704641985608868416527874978844272559416512831359723577531611711939001978014758392012495549264128899230322945901086197185682602590708867827734924333255255688576981680805823458237098296606347492859604952235123827121e+560 -1.328956087716419828910430244455378346234287500750154552428654655939708137174658286257526051814757210462493766876469947904771530505389490296121624773594381212557929619330626799190441983368794766839366126093586870611846197690975163515480097671792785829793338465337750871560800749497023677525935809579344280747919e+560),(-1.216576391852356733908164103028383417714744451847666269066888106701035424115337673086836460247292543583539116013997234317218638943394514816802681228236270880036475565833157872457418812474540498234061310459543616043871970596492216876208309624492201459577721236465184450180450249004596713096253447325932142353446e+560 -8.071456973818199852439739398571099523775192737585214969106137499576352051272403757144256095534026271880148218305169411913746826275067886267689453148971532260629228265482670520252828129508312756784650280950399452228789229010547969032242979346106847154964629441943831222366444193316685280158168634889043660842792e+560),
7,0.83,1.2516125e+553,1.2516138e+553,1.2516106e+553,1.2516024e+553,1.2516017e+553,1.2516087e+553,(7.509649671772372816435139912122289514567005936690592778199677909628623649072827763495715692379701428284615133468523991101062083694794328156500559072951885860348773158656107762904216862519717021847508453946387384102048889039305697153742312156202113251689849823519160835565836470578621014657627629286441780042538e+553 +0),(2.919086652757836234274526640825843568753576603056504822278638401863959853306835381692421799855894659653969042323116387861128405770000790293175627743239721963296551771963367918756417054190472665287684663572973115444686289021591931644505951438019058396989755811722276578783448685745416726208017137858436874295588e+525 3.429594431702754150394419629884170110754431418461546962210788206261477635741478368737800580844018821165540436031945078695590132510772113040661658037011067785212700795180141711569277879096417130269710099278271297020199061315690697618468185634783369731438375336126338935156327618883995498871180630414547016323118e+245),(1.458058495697558201572072381459334638771474895155413928322163952959758593934962657649407314547767749044908994630481015855760033627646745928625250976864554470056575548007826002092655087548214810382424695510022992157703539549543314139833180519119753235130962531000125085521606728633526941331542749788074553576189e+548 2.197669577573547017138392390664550841002851145614514304708431056762563329433945728521851272866134385853279206834011482002573018987023862204808065432565735287967707940730521685068437302811888309617771572732859045212238740487658054986380072918516617873700066667417408814541407290414970890323711572664729253070048e+547),(-1.984165228893543307673402333183026178443770474365786974802539688181482401905541127985674728833156515536100746997259427455814023279538575814456036678455912805861038493965411788917440300068113893126167868340923794714139039993505506097714008239910312018713340820589357027462313005290761419813678667546897944534774e+547 1.316407615766389229741370288801235171464562720320583133782749503436871704493351009679510834005912786631028403102970360069869470881447832258399524291036220532211108171680326281783713087577987431502018109207340604931676224763575716440103310834192125259765481457971975634115878190601626265910945218967124757853269e+548),(1.458058495697558201572072381459334638771474895155413928322163952959758593934962657649407314547767749044908994630481015855760033627646745928625250976864554470056575548007826002092655087548214810382424695510022992157703539549543314139833180519119753235130962531000125085521606728633526941331542749788074557946139e+548 -2.197669577573547017138392390664550841002851145614514304708431056762563329433945728521851272866134385853279206834011482002573018987023862204808065432565735287967707940730521685068437302811888309617771572732859045212238740487658054986380072918516617873700066667417408814541407290414970890323711572664729209370549e+547),(-1.984165228893543307673402333183026178443770474365786974802539688181482401905541127985674728833156515536100746997259427455814023279538575814456036678455912805861038493965411788917440300068113893126167868340923794714139039993505506097714008239910312018713340820589357027462313005290761419813678667546897939072336e+547 -1.316407615766389229741370288801235171464562720320583133782749503436871704493351009679510834005912786631028403102970360069869470881447832258399524291036220532211108171680326281783713087577987431502018109207340604931676224763575716440103310834192125259765481457971975634115878190601626265910945218967124746928394e+548),
7,0.88,1.4487515e+533,1.4487545e+533,1.4487471e+533,1.4487285e+533,1.4487271e+533,1.4487427e+533,(8.692451451315611138822970817512559091300998897544722506417036657246068358391007683190267959559880653413589726056760967559461672213745908426408055612361217649813701272087526105112215394378622957764278534385249156224278645428785829677281735983695560949638280760550127209641178200744265440727796601203961843616915e+533 +0),(5.155101100554319004675138785458703455792031234560737247464222303556510213059749557158986898495310116243056658641107690109011368352534716102875911007595360607204233118574445305521369124509906611162430357032689624256942480881436757151140328585396243249707006005967907917209126231363983122888003180327155317828473e+505 3.969770148844058023851328750932403066881048335292259176517671369081262247810222470360587202130523392381101497769712693183871693777426588763389742289882071379271012330697158392455617394017196880618416463244372550325527923674204603714242136031454426420975094345457818682333261212758458479278849176209304054873353e+225),(3.327801800100771093793906919334717745573620166510576995880379819323227711147056719684399642813183706909753323440210345126687105221836399789466148906434242636599877011213909818535053751709256744489823084656532622643912867957048447592935791672112852622580501378520522497673517127007658926243416517182108436246975e+528 5.015854163503296458735582508716781474482686486841082645298963697785879011769412648693006492618561657092730466653718732404938451462321698956907740927822735668468727716839182937042710427741271996498998295794730807636853980457030955413398866045787931306982094442156624007746214623233072005881548343396245030055619e+527),(-4.463701287095084880342743635734416290811029200998606940111114030504306599073639034336843795771853455273154240223086255314276287485194732808918331446959832183631865069769753455680429845505984192871548515734521645905660621572306679400004145407581480508973220534539013163191941049543669223560610341421606168986895e+527 2.961472302442746569497632656963731805569968890493735480907851097967921146105640543740079841750716289663540253731639511774936635801860573330275126380467693003773482840721897150466460475317939167242086257472434586436876322753623275013946294693497168399682047183557579773482569151244793911079772282919889289567165e+528),(3.327801800100771093793906919334717745573620166510576995880379819323227711147056719684399642813183706909753323440210345126687105221836399789466148906434242636599877011213909818535053751709256744489823084656532622643912867957048447592935791672112852622580501378520522497673517127007658926243416517182108440688765e+528 -5.015854163503296458735582508716781474482686486841082645298963697785879011769412648693006492618561657092730466653718732404938451462321698956907740927822735668468727716839182937042710427741271996498998295794730807636853980457030955413398866045787931306982094442156624007746214623233072005881548343396244948622805e+527),(-4.463701287095084880342743635734416290811029200998606940111114030504306599073639034336843795771853455273154240223086255314276287485194732808918331446959832183631865069769753455680429845505984192871548515734521645905660621572306679400004145407581480508973220534539013163191941049543669223560610341421606168986895e+527 -2.961472302442746569497632656963731805569968890493735480907851097967921146105640543740079841750716289663540253731639511774936635801860573330275126380467693003773482840721897150466460475317939167242086257472434586436876322753623275013946294693497168399682047183557579773482569151244793911079772282919889276241796e+528),
